#zu a): R_v >= 10mOhm ; U_0 = 1.5 V

#zu b) und d):

#Gleichspannung: Ra/50 Ohm/%	I/A	U_K/V	Rechteck:Ra/250 Ohm/%	I_eff/mA	U_K/mV	Sinus:Ra/5kOhm/%	I_eff/mA	U_K/mV
0	0.084	0.22	0	7.10	195	0	1.7	480
10	0.065	0.37	10	6.10	250	10	1.5	610
20	0.053	0.59	20	4.50	320	20	0.95	950
30	0.043	0.74	30	3.50	380	30	0.72	1100
40	0.037	0.85	40	2.90	420	40	0.56	1200
50	0.032	0.95	50	2.60	460	50	0.48	1250
60	0.029	1.00	60	2.30	480	60	0.40	1300
70	0.026	1.05	70	2.05	490	70	0.33	1350
80	0.023	1.10	80	1.75	510	80	0.30	1400
90	0.021	1.15	90	1.70	520	90	0.26	1450
100	0.020	1.20	100	1.60	520	100	0.24	1450
