#  f/Hz    A/V    Δt/μs
     10   3.86     1680 
     20   3.86     1500 
     40  3.712     1420 
     60  3.472     1360 
    100  2.937     1190 
    150  2.357     1000 
    200  1.925      860 
    300  1.379      660 
    400  1.063      520 
    500  0.862      432 
    700  0.621      320 
    900  0.486      256 
   1200  0.365      196 
   1500  0.292      158 
   1800  0.243      133 
   2500  0.175       97 
   3000  0.145       81 
   4000  0.109       61 
   5000  0.087       49 
  10000  0.031       25 
