# f / Hz	U_c / V
10.0e3	16.0
11.0e3	46.0
12.0e3	20.5
13.0e3	11.5
14.0e3	10.0
15.0e3	10.0
16.0e3	10.5
17.0e3	11.5
18.0e3	12.0
19.0e3	12.5
20.0e3	13.5
21.0e3	14.5
22.0e3	15.5
23.0e3	16.5
24.0e3	18.0
25.0e3	19.5
26.0e3	22.0
27.0e3	25.0
28.0e3	29.0
29.0e3	34.0
30.0e3	42.0
30.5e3	49.0
31.0e3	57.0
31.5e3	68.0
32.0e3	84.0
32.5e3	110.0
33.0e3	140.0
33.5e3	155.0
34.0e3	140.0
34.5e3	110.0
35.0e3	86.0
35.5e3	79.0
36.0e3	56.0
36.5e3	48.0
37.0e3	41.0
37.5e3	36.0
38.0e3	31.0
38.5e3	28.5
39.0e3	26.0
39.5e3	23.5
40.0e3	21.5
41.0e3	18.5
42.0e3	16.0
43.0e3	14.0
44.0e3	12.5
45.0e3	11.5
46.0e3	10.0
47.0e3	9.0
48.0e3	8.5
49.0e3	8.0
50.0e3	7.5
