# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

#  x/mm  I/μA
   0   0.0021  
   1   0.0026  
   2    0.006  
   3   0.0044  
   4    0.012  
   5    0.014  
   6   0.0068  
   7    0.012  
   8   0.0044  
   9   0.0046  
  10    0.009  
  11    0.008  
  12    0.041  
  13    0.027  
  14    0.032  
  15    0.042  
  16    0.012  
  17    0.012  
  18    0.017  
  19     0.05  
  20     0.22  
  21     0.07  
  22     0.58  
  23     0.47  
  24      0.4  
  25      0.1  
  26     0.23  
  27     0.82  
  28     0.48  
  29     0.17  
  30     0.28  
  31    0.053  
  32    0.042  
  33    0.021  
  34    0.017  
  35    0.042  
  36     0.02  
  37     0.04  
  38     0.03  
  39    0.007  
  40     0.01  
  41   0.0056  
  42    0.007  
  43    0.012  
  44    0.011  
  45    0.025  
  46    0.011  
  47   0.0098  
  48    0.005  
  49    0.003  
  50    0.004


