# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

#  x/mm  I/μA
   0    0.0052  
   1     0.005  
   2    0.0032  
   3    0.0016  
   4    0.0008  
   5    0.0024  
   6    0.0058  
   7    0.0098  
   8    0.0130  
   9     0.008  
  10    0.0035  
  11    0.0025  
  12    0.0035  
  13     0.009  
  14      0.02  
  15     0.028  
  16     0.038  
  17     0.022  
  18     0.011  
  19    0.0078  
  20     0.012  
  21     0.038  
  22      0.08  
  23      0.18  
  24      0.29  
  25      0.36  
  26      0.44  
  27      0.47  
  28      0.46  
  29       0.4  
  30       0.3  
  31      0.24  
  32      0.13  
  33     0.055  
  34     0.025  
  35     0.007  
  36     0.005  
  37     0.015  
  38     0.016  
  39     0.017  
  40     0.013  
  41     0.008  
  42    0.0048  
  43    0.0025  
  44    0.0029  
  45    0.0044  
  46    0.0062  
  47    0.0068  
  48    0.0062  
  49    0.0046  
  50    0.0028
