# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

#  x/mm  I/μA
   0   0.0018  
   1   0.0016  
   2   0.0019  
   3   0.0021  
   4   0.0024  
   5   0.0026  
   6    0.003  
   7   0.0037  
   8   0.0042  
   9   0.0045  
  10   0.0044  
  11    0.004  
  12   0.0033  
  13   0.0026  
  14    0.002  
  15    0.002  
  16    0.003  
  17   0.0054  
  18   0.0091  
  19    0.013  
  20    0.019  
  21    0.026  
  22    0.028  
  23    0.035  
  24    0.042  
  25    0.046  
  26    0.048  
  27    0.047  
  28     0.04  
  29    0.036  
  30     0.03  
  31    0.028  
  32    0.022  
  33    0.017  
  34    0.012  
  35   0.0086  
  36   0.0056  
  37   0.0034  
  38   0.0022  
  39   0.0020  
  40   0.0019  
  41   0.0020  
  42   0.0023  
  43   0.0025  
  44   0.0025  
  45   0.0025  
  46   0.0023  
  47   0.0022  
  48   0.0019  
  49   0.0017  
  50   0.0016
