#(Weiß) e/cm	b_2/cm	g_2/cm	g_1/cm	b_1/cm	(rot)e/cm	b_2/cm	g_2/cm	g_1/cm	b_1/cm	(blau)b_2/cm	g_2/cm	g_1/cm	b_1/cm
70.0	25.8	44.2	26.2	43.8	70.0	26.4	43.6	26.1	43.9	25.6	44.4	25.8	44.2
73.0	24.4	48.6	24.6	48.4	73.0	24.4	48.6	25.1	47.9	24.5	48.5	24.8	48.2
76.0	23.8	52.2	23.8	52.2	76.0	23.9	52.1	24.1	51.9	23.5	52.5	24.0	52.0
79.0	22.9	56.1	23.2	55.8	79.0	23.3	55.7	23.5	55.5	22.8	56.2	23.2	55.8
82.0	22.4	59.6	22.6	59.4	82.0	22.4	59.6	22.7	59.3	22.4	59.6	23.0	59.0
85.0	21.9	63.1	22.1	62.9	0.0	0	0	0	0	0	0	0	0
88.0	22.8	65.2	21.9	66.1	0	0	0	0	0	0	0	0	0
91.0	21.0	70.0	23.5	69.5	0	0	0	0	0	0	0	0	0
94.0	20.9	73.1	21.3	72.7	0	0	0	0	0	0	0	0	0
97.0	20.7	76.3	21.1	75.9	0	0	0	0	0	0	0	0	0
