# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

# Kristallwinkel	Rate bei 35kV mit Gold
# theta/°	R(35kV)/Imp/s

11.0	83.0
11.1	88.0
11.2	86.0
11.3	85.0
11.4	89.0
11.5	89.0
11.6	88.0
11.7	89.0
11.8	87.0
11.9	90.0
12.0	84.0
12.1	92.0
12.2	84.0
12.3	85.0
12.4	89.0
12.5	83.0
12.6	83.0
12.7	81.0
12.8	84.0
12.9	83.0
13.0	84.0
13.1	86.0
13.2	85.0
13.3	81.0
13.4	84.0
13.5	90.0
13.6	92.0
13.7	90.0
13.8	91.0
13.9	87.0
14.0	82.0
14.1	80.0
14.2	80.0
14.3	77.0
14.4	75.0
14.5	73.0
14.6	72.0
14.7	69.0
14.8	70.0
14.9	68.0
15.0	67.0
15.1	66.0
15.2	64.0
15.3	65.0
15.4	72.0
15.5	78.0
15.6	88.0
15.7	92.0
15.8	99.0
15.9	96.0
16.0	95.0
16.1	96.0
16.2	91.0
16.3	90.0
16.4	91.0
16.5	87.0
16.6	88.0
16.7	85.0
16.8	85.0
16.9	82.0
17.0	81.0
17.1	76.0
17.2	76.0
17.3	76.0
17.4	74.0
17.5	72.0
17.6	69.0
17.7	73.0
17.8	66.0
17.9	65.0
18.0	66.0
