# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

# Kristallwinkel	Rate bei 35kV
# theta/°	R(35kV)/Imp/s

4.0	42.0
4.2	36.0
4.4	30.0
4.6	32.0
4.8	29.0
5.0	0.0
5.2	31.0
5.4	29.0
5.6	23.0
5.8	38.0
6.0	44.0
6.2	56.0
6.4	63.0
6.6	76.0
6.8	77.0
7.0	98.0
7.2	114.0
7.4	122.0
7.6	123.0
7.8	141.0
8.0	139.0
8.2	162.0
8.4	157.0
8.6	159.0
8.8	172.0
9.0	181.0
9.2	181.0
9.4	190.0
9.6	191.0
9.8	193.0
10.0	201.0
10.2	206.0
10.4	217.0
10.6	199.0
10.8	211.0
11.0	213.0
11.2	229.0
11.4	229.0
11.6	238.0
11.8	224.0
12.0	240.0
12.2	239.0
12.4	236.0
12.6	246.0
12.8	238.0
13.0	241.0
13.2	241.0
13.4	238.0
13.6	241.0
13.8	228.0
14.0	194.0
14.2	191.0
14.4	189.0
14.6	185.0
14.8	180.0
15.0	184.0
15.2	178.0
15.4	171.0
15.6	175.0
15.8	178.0
16.0	181.0
16.2	162.0
16.4	171.0
16.6	148.0
16.8	159.0
17.0	165.0
17.2	155.0
17.4	149.0
17.6	147.0
17.8	144.0
18.0	137.0
18.2	130.0
18.4	132.0
18.6	126.0
18.8	123.0
19.0	116.0
19.2	120.0
19.4	120.0
19.6	122.0
19.8	118.0
20.0	122.0
20.2	111.0
20.4	164.0
20.6	1348.0
20.8	1418.0
21.0	560.0
21.2	204.0
21.4	169.0
21.6	139.0
21.8	146.0
22.0	142.0
22.2	134.0
22.4	151.0
22.6	207.0
22.8	1081.0
23.0	5187.0
23.2	4004.0
23.4	300.0
23.6	152.0
23.8	115.0
24.0	107.0
24.2	101.0
24.4	95.0
24.6	82.0
24.8	75.0
25.0	74.0
25.2	81.0
25.4	71.0
25.6	73.0
25.8	69.0
26.0	63.0
