# This work is licensed under the Creative Commons
# Attribution-NonCommercial 3.0 Unported License. To view a copy of this
# license, visit http://creativecommons.org/licenses/by-nc/3.0/.

# Kristallwinkel	Rate bei 35kV mit Germanium
# theta/°	R(35kV)/Imp/s

14.0	13.0
14.1	16.0
14.2	15.0
14.3	15.0
14.4	15.0
14.5	15.0
14.6	14.0
14.7	14.0
14.8	17.0
14.9	14.0
15.0	14.0
15.1	14.0
15.2	14.0
15.3	14.0
15.4	13.0
15.5	13.0
15.6	13.0
15.7	12.0
15.8	13.0
15.9	12.0
16.0	13.0
16.1	13.0
16.2	11.0
16.3	12.0
16.4	12.0
16.5	14.0
16.6	19.0
16.7	24.0
16.8	27.0
16.9	33.0
17.0	35.0
17.1	30.0
17.2	31.0
17.3	31.0
17.4	29.0
17.5	28.0
17.6	30.0
17.7	26.0
17.8	27.0
17.9	25.0
18.0	25.0
18.1	24.0
18.2	20.0
18.3	24.0
18.4	21.0
18.5	21.0
18.6	19.0
18.7	19.0
18.8	18.0
18.9	17.0
19.0	17.0
19.1	17.0
19.2	19.0
19.3	17.0
19.4	16.0
19.5	15.0
19.6	15.0
19.7	14.0
19.8	13.0
19.9	14.0
20.0	13.0
